as_of,asset_id,horizon,horizon_days,target_date,point_pct,low_pct,high_pct,band_width_pct,band_skew,interval,p_up,confidence,n_drivers,driver_max_weight,is_mechanical,model_id,band_shadow_low,band_shadow_high,band_shadow_rule
2026-08-13,A1,1d,1,2026-08-14,0.02,-1.8,1.9,3.7,0.05,80,0.52,low,2,high,0,model_A,,,
2026-08-14,A1,1d,1,2026-08-17,0.1,-1.85,2.05,3.9,0.1,80,0.53,low,3,high,0,model_A,,,
2026-08-14,A2,1d,1,2026-08-17,0.25,-1.85,2.45,4.3,0.3,80,0.57,low,3,high,0,model_A,,,
2026-08-14,A3,1d,1,2026-08-17,0.2,-2.0,2.6,4.6,0.3,80,0.55,low,3,high,0,model_A,,,
2026-08-14,A4,1d,1,2026-08-17,-0.55,-2.6,1.5,4.1,-0.55,80,0.38,low,3,high,0,model_A,,,
2026-08-14,A5,1d,1,2026-08-17,0.2,-1.5,1.9,3.4,0.2,80,0.55,low,3,high,0,model_A,,,
2026-08-14,A6,1d,1,2026-08-17,0.07,-0.15,0.35,0.5,0.1,80,0.68,low,2,high,0,model_A,,,
2026-08-14,A1,1w,7,2026-08-21,0.9,-3.8,5.8,9.6,1.0,80,0.58,low,3,high,0,model_A,,,
2026-08-14,A2,1w,7,2026-08-21,1.1,-4.5,6.8,11.3,1.15,80,0.6,low,3,high,1,model_A,,,
2026-08-14,A3,1w,7,2026-08-21,0.95,-4.5,6.5,11.0,1.0,80,0.58,low,3,high,0,model_A,,,
2026-08-14,A4,1w,7,2026-08-21,0.9,-4.5,6.3,10.8,0.9,80,0.57,low,3,high,1,model_A,,,
2026-08-14,A5,1w,7,2026-08-21,0.8,-3.5,5.2,8.7,0.85,80,0.57,low,2,high,0,model_A,,,
2026-08-14,A6,1w,7,2026-08-21,0.32,-0.15,0.9,1.05,0.375,80,0.72,low,2,high,0,model_A,,,
2026-08-14,A1,1m,30,2026-09-14,2.8,-7.5,13.5,21.0,3.0,80,0.6,low,3,high,0,model_A,,,
2026-08-14,A4,1m,30,2026-09-14,2.8,-9.0,15.0,24.0,3.0,80,0.58,low,2,high,0,model_A,,,
2026-08-14,A2,1m,30,2026-09-14,3.2,-10.0,17.0,27.0,3.5,80,0.6,low,2,high,0,model_A,,,
2026-08-14,A3,1m,30,2026-09-14,2.8,-10.0,16.0,26.0,3.0,80,0.58,low,2,high,0,model_A,,,
2026-08-14,A5,1m,30,2026-09-14,2.5,-8.0,13.0,21.0,2.5,80,0.58,low,2,high,0,model_A,,,
2026-08-14,A6,1m,30,2026-09-14,1.4,-0.3,3.5,3.8,1.6,80,0.75,low,1,high,0,model_A,,,
2026-08-15,A1,1d,1,2026-08-17,0.08,-1.65,1.95,3.6,0.15,80,0.52,low,3,high,0,model_A,,,
2026-08-15,A6,1d,1,2026-08-17,0.06,-0.14,0.3,0.44,0.08,80,0.62,medium,2,high,0,model_A,,,
2026-08-15,A2,1d,1,2026-08-17,-0.25,-1.7,0.95,2.65,-0.375,80,0.4,medium,2,high,0,model_A,,,
2026-08-15,A3,1d,1,2026-08-17,-0.05,-1.65,1.55,3.2,-0.05,80,0.47,low,3,high,0,model_A,,,
2026-08-15,A4,1d,1,2026-08-17,0.9,-1.2,3.1,4.3,0.95,80,0.66,low,2,high,0,model_A,,,
2026-08-15,A5,1d,1,2026-08-17,0.2,-1.45,1.85,3.3,0.2,80,0.55,low,1,medium,0,model_A,,,
2026-08-15,A1,1w,7,2026-08-24,0.7,-2.8,4.4,7.2,0.8,80,0.56,low,4,high,0,model_A,,,
2026-08-15,A6,1w,7,2026-08-24,0.3,-0.2,0.9,1.1,0.35,80,0.72,medium,2,high,0,model_A,,,
2026-08-15,A2,1w,7,2026-08-24,0.4,-3.6,4.6,8.2,0.5,80,0.54,low,3,high,0,model_A,,,
2026-08-15,A3,1w,7,2026-08-24,0.4,-3.3,4.2,7.5,0.45,80,0.53,low,3,high,0,model_A,,,
2026-08-15,A4,1w,7,2026-08-24,1.4,-2.4,5.2,7.6,1.4,80,0.62,low,3,high,0,model_A,,,
2026-08-15,A5,1w,7,2026-08-24,0.7,-3.4,4.8,8.2,0.7,80,0.55,low,1,medium,0,model_A,,,
2026-08-15,A1,1m,30,2026-09-15,2.6,-4.5,10.5,15.0,3.0,80,0.62,low,3,high,0,model_A,,,
2026-08-15,A6,1m,30,2026-09-15,1.35,0.2,2.8,2.6,1.5,80,0.85,medium,1,medium,0,model_A,,,
2026-08-15,A2,1m,30,2026-09-15,2.2,-7.5,12.0,19.5,2.25,80,0.56,low,3,high,0,model_A,,,
2026-08-15,A3,1m,30,2026-09-15,2.0,-6.5,10.5,17.0,2.0,80,0.55,low,3,high,0,model_A,,,
2026-08-15,A4,1m,30,2026-09-15,3.0,-5.0,11.5,16.5,3.25,80,0.61,low,3,high,0,model_A,,,
2026-08-15,A5,1m,30,2026-09-15,2.4,-6.0,11.0,17.0,2.5,80,0.56,low,1,medium,0,model_A,,,
2026-08-16,A1,1d,1,2026-08-17,0.05,-1.62,1.9,3.52,0.14,80,0.52,low,4,high,0,model_A,,,
2026-08-16,A6,1d,1,2026-08-17,0.07,-0.15,0.32,0.47,0.085,80,0.63,medium,1,medium,0,model_A,,,
2026-08-16,A2,1d,1,2026-08-17,-0.2,-1.65,1.0,2.65,-0.325,80,0.42,medium,2,medium,0,model_A,,,
2026-08-16,A3,1d,1,2026-08-17,-0.05,-1.6,1.5,3.1,-0.05,80,0.47,low,2,medium,0,model_A,,,
2026-08-16,A4,1d,1,2026-08-17,0.85,-1.25,3.05,4.3,0.9,80,0.65,low,2,high,0,model_A,,,
2026-08-16,A5,1d,1,2026-08-17,0.2,-1.4,1.8,3.2,0.2,80,0.55,low,1,medium,0,model_A,,,
2026-08-16,A1,1w,7,2026-08-24,0.65,-2.85,4.35,7.2,0.75,80,0.55,low,3,high,0,model_A,,,
2026-08-16,A6,1w,7,2026-08-24,0.32,-0.18,0.92,1.1,0.37,80,0.73,medium,1,medium,0,model_A,,,
2026-08-16,A2,1w,7,2026-08-24,0.35,-3.65,4.55,8.2,0.45,80,0.53,low,2,high,0,model_A,,,
2026-08-16,A3,1w,7,2026-08-24,0.35,-3.35,4.15,7.5,0.4,80,0.53,low,2,high,0,model_A,,,
2026-08-16,A4,1w,7,2026-08-24,1.3,-2.45,5.1,7.55,1.325,80,0.61,low,2,high,0,model_A,,,
2026-08-16,A5,1w,7,2026-08-24,0.65,-3.45,4.75,8.2,0.65,80,0.55,low,2,medium,0,model_A,,,
2026-08-16,A1,1m,30,2026-09-16,2.5,-4.6,10.4,15.0,2.9,80,0.61,low,3,high,0,model_A,,,
2026-08-16,A6,1m,30,2026-09-16,1.45,0.25,2.9,2.65,1.575,80,0.86,medium,1,medium,0,model_A,,,
2026-08-16,A2,1m,30,2026-09-16,2.1,-7.6,11.9,19.5,2.15,80,0.56,low,2,high,0,model_A,,,
2026-08-16,A3,1m,30,2026-09-16,1.95,-6.6,10.4,17.0,1.9,80,0.55,low,2,high,0,model_A,,,
2026-08-16,A4,1m,30,2026-09-16,2.9,-5.1,11.4,16.5,3.15,80,0.6,low,2,high,0,model_A,,,
2026-08-16,A5,1m,30,2026-09-16,2.3,-6.1,10.9,17.0,2.4,80,0.56,low,2,high,0,model_A,,,
2026-08-17,A1,1d,1,2026-08-18,0.22,-1.42,1.86,3.28,0.22,80,0.56,low,2,high,0,model_A,,,
2026-08-17,A1,1w,7,2026-08-24,0.9,-2.8,4.6,7.4,0.9,80,0.58,low,2,high,0,model_A,,,
2026-08-17,A1,1m,30,2026-09-17,2.5,-5.0,10.0,15.0,2.5,80,0.62,low,2,high,0,model_A,,,
2026-08-17,A2,1d,1,2026-08-18,0.16,-1.3,1.62,2.92,0.16,80,0.54,low,1,high,0,model_A,,,
2026-08-17,A2,1w,7,2026-08-24,1.0,-2.3,4.3,6.6,1.0,80,0.57,low,1,high,0,model_A,,,
2026-08-17,A2,1m,30,2026-09-17,2.8,-3.9,9.5,13.4,2.8,80,0.57,low,1,high,0,model_A,,,
2026-08-17,A3,1d,1,2026-08-18,0.14,-1.56,1.84,3.4,0.14,80,0.54,low,1,high,0,model_A,,,
2026-08-17,A3,1w,7,2026-08-24,0.9,-2.7,4.5,7.2,0.9,80,0.56,low,1,high,0,model_A,,,
2026-08-17,A3,1m,30,2026-09-17,2.2,-4.8,9.2,14.0,2.2,80,0.56,low,1,high,0,model_A,,,
2026-08-17,A4,1d,1,2026-08-18,0.4,-1.5,2.3,3.8,0.4,80,0.58,low,2,high,0,model_A,,,
2026-08-17,A4,1w,7,2026-08-24,0.7,-3.5,4.9,8.4,0.7,80,0.55,low,2,medium,0,model_A,,,
2026-08-17,A4,1m,30,2026-09-17,1.9,-6.7,10.5,17.2,1.9,80,0.58,low,2,medium,0,model_A,,,
2026-08-17,A5,1d,1,2026-08-18,0.17,-1.33,1.67,3.0,0.17,80,0.54,low,2,high,0,model_A,,,
2026-08-17,A5,1w,7,2026-08-24,0.6,-2.6,3.8,6.4,0.6,80,0.55,low,2,high,0,model_A,,,
2026-08-17,A5,1m,30,2026-09-17,1.8,-4.7,8.3,13.0,1.8,80,0.55,low,1,high,0,model_A,,,
2026-08-17,A6,1d,1,2026-08-18,0.04,-0.18,0.3,0.48,0.06,80,0.58,low,1,high,0,model_A,,,
2026-08-17,A6,1w,7,2026-08-24,0.25,-0.15,0.7,0.85,0.275,80,0.66,low,1,high,0,model_A,,,
2026-08-17,A6,1m,30,2026-09-17,1.6,0.3,3.0,2.7,1.65,80,0.82,low,1,high,0,model_A,,,
2026-08-18,A1,1d,1,2026-08-19,0.18,-1.46,1.82,3.28,0.18,80,0.57,low,3,high,0,model_A,,,
2026-08-18,A1,1w,7,2026-08-25,0.9,-3.3,5.1,8.4,0.9,80,0.58,low,4,high,0,model_A,,,
2026-08-18,A1,1m,30,2026-09-18,2.5,-6.0,11.0,17.0,2.5,80,0.62,low,4,high,0,model_A,,,
2026-08-18,A2,1d,1,2026-08-19,0.12,-1.34,1.58,2.92,0.12,80,0.53,low,2,high,0,model_A,,,
2026-08-18,A2,1w,7,2026-08-25,1.0,-2.6,4.6,7.2,1.0,80,0.57,low,3,high,0,model_A,,,
2026-08-18,A2,1m,30,2026-09-18,2.8,-4.5,10.2,14.7,2.85,80,0.57,low,3,high,0,model_A,,,
2026-08-18,A3,1d,1,2026-08-19,0.13,-1.57,1.83,3.4,0.13,80,0.54,low,3,high,0,model_A,,,
2026-08-18,A3,1w,7,2026-08-25,0.9,-3.0,4.8,7.8,0.9,80,0.56,low,4,high,0,model_A,,,
2026-08-18,A3,1m,30,2026-09-18,2.2,-5.4,9.8,15.2,2.2,80,0.56,low,4,high,0,model_A,,,
2026-08-18,A4,1d,1,2026-08-19,0.15,-1.75,2.05,3.8,0.15,80,0.55,low,3,high,0,model_A,,,
2026-08-18,A4,1w,7,2026-08-25,0.7,-3.8,5.2,9.0,0.7,80,0.55,low,4,high,0,model_A,,,
2026-08-18,A4,1m,30,2026-09-18,1.9,-7.5,11.3,18.8,1.9,80,0.58,low,4,high,0,model_A,,,
2026-08-18,A5,1d,1,2026-08-19,0.13,-1.37,1.63,3.0,0.13,80,0.54,low,2,high,1,model_A,,,
2026-08-18,A5,1w,7,2026-08-25,0.6,-2.9,4.1,7.0,0.6,80,0.55,low,3,high,0,model_A,,,
2026-08-18,A5,1m,30,2026-09-18,1.8,-5.3,8.9,14.2,1.8,80,0.55,low,3,high,0,model_A,,,
2026-08-18,A6,1d,1,2026-08-19,0.04,-0.2,0.28,0.48,0.04,80,0.57,low,1,medium,0,model_A,,,
2026-08-18,A6,1w,7,2026-08-25,0.25,-0.15,0.7,0.85,0.275,80,0.66,low,2,high,0,model_A,,,
2026-08-18,A6,1m,30,2026-09-18,1.6,0.3,3.0,2.7,1.65,80,0.82,low,2,high,0,model_A,,,
2026-08-19,A1,1d,1,2026-08-20,0.15,-1.85,2.15,4.0,0.15,80,0.55,low,4,high,0,model_A,,,
2026-08-19,A1,1w,7,2026-08-26,0.6,-4.2,5.4,9.6,0.6,80,0.56,low,3,high,0,model_A,,,
2026-08-19,A1,1m,30,2026-09-18,2.5,-6.0,11.0,17.0,2.5,80,0.6,low,2,high,0,model_A,,,
2026-08-19,A2,1d,1,2026-08-20,0.06,-1.74,1.86,3.6,0.06,80,0.51,low,4,high,0,model_A,,,
2026-08-19,A2,1w,7,2026-08-26,0.3,-3.9,4.5,8.4,0.3,80,0.53,low,3,high,0,model_A,,,
2026-08-19,A2,1m,30,2026-09-18,2.0,-9.0,13.0,22.0,2.0,80,0.56,low,3,high,0,model_A,,,
2026-08-19,A3,1d,1,2026-08-20,0.05,-1.8,1.9,3.7,0.05,80,0.51,low,4,high,0,model_A,,,
2026-08-19,A3,1w,7,2026-08-26,0.35,-4.0,4.7,8.7,0.35,80,0.53,low,3,high,0,model_A,,,
2026-08-19,A3,1m,30,2026-09-18,2.2,-9.0,13.5,22.5,2.25,80,0.56,low,3,high,0,model_A,,,
2026-08-19,A4,1d,1,2026-08-20,0.6,-1.85,3.05,4.9,0.6,80,0.6,low,3,high,0,model_A,,,
2026-08-19,A4,1w,7,2026-08-26,0.8,-5.2,6.8,12.0,0.8,80,0.56,low,3,high,0,model_A,,,
2026-08-19,A4,1m,30,2026-09-18,2.8,-10.0,15.5,25.5,2.75,80,0.58,low,3,high,0,model_A,,,
2026-08-19,A5,1d,1,2026-08-20,0.15,-1.3,1.6,2.9,0.15,80,0.55,low,1,medium,0,model_A,,,
2026-08-19,A5,1w,7,2026-08-26,0.7,-2.9,4.3,7.2,0.7,80,0.56,low,2,high,0,model_A,,,
2026-08-19,A5,1m,30,2026-09-18,3.0,-7.0,13.0,20.0,3.0,80,0.6,low,1,medium,0,model_A,,,
2026-08-19,A6,1d,1,2026-08-20,0.05,-0.18,0.3,0.48,0.06,80,0.66,low,2,high,0,model_A,,,
2026-08-19,A6,1w,7,2026-08-26,0.25,-0.35,1.1,1.45,0.375,80,0.7,low,1,low,0,model_A,,,
2026-08-19,A6,1m,30,2026-09-18,1.1,-0.5,3.0,3.5,1.25,80,0.75,low,1,low,0,model_A,,,
2026-08-20,A1,1d,1,2026-08-21,0.15,-1.95,2.25,4.2,0.15,80,0.55,low,5,high,0,model_A,-1.84,2.207,ampirik_p10p90_250g_v5
2026-08-20,A2,1d,1,2026-08-21,0.2,-1.75,2.15,3.9,0.2,80,0.52,low,5,high,0,model_A,-1.672,1.863,ampirik_p10p90_250g_v5
2026-08-20,A3,1d,1,2026-08-21,0.13,-1.55,1.85,3.4,0.15,80,0.53,low,4,high,0,model_A,-1.313,1.662,ampirik_p10p90_250g_v5
2026-08-20,A4,1d,1,2026-08-21,1.8,-0.85,4.45,5.3,1.8,80,0.66,low,3,high,1,model_A,-0.316,4.115,ampirik_p10p90_250g_v5
2026-08-20,A5,1d,1,2026-08-21,0.1,-1.4,1.6,3.0,0.1,80,0.55,low,2,high,0,model_A,-1.424,1.616,ampirik_p10p90_250g_v5
2026-08-20,A6,1d,1,2026-08-21,0.04,-0.05,0.2,0.25,0.075,80,0.66,low,2,high,0,model_A,-0.05,0.185,ampirik_p10p90_250g_v5
2026-08-20,A1,1w,7,2026-08-27,0.7,-4.2,6.0,10.2,0.9,80,0.55,low,3,high,0,model_A,,,
2026-08-20,A2,1w,7,2026-08-27,0.9,-4.2,6.0,10.2,0.9,80,0.56,low,3,high,0,model_A,,,
2026-08-20,A3,1w,7,2026-08-27,0.7,-3.6,5.2,8.8,0.8,80,0.55,low,4,high,0,model_A,,,
2026-08-20,A4,1w,7,2026-08-27,1.4,-3.6,6.4,10.0,1.4,80,0.6,low,2,high,0,model_A,,,
2026-08-20,A5,1w,7,2026-08-27,0.5,-4.0,5.2,9.2,0.6,80,0.54,low,2,high,0,model_A,,,
2026-08-20,A6,1w,7,2026-08-27,0.22,-0.15,0.75,0.9,0.3,80,0.68,medium,1,medium,0,model_A,,,
2026-08-21,A1,1d,1,2026-08-24,0.15,-1.85,2.15,4.0,0.15,80,0.53,low,6,high,0,model_A,-1.846,2.207,ampirik_p10p90_250g_v5
2026-08-21,A2,1d,1,2026-08-24,0.18,-1.75,2.1,3.85,0.175,80,0.52,low,5,high,0,model_A,-1.687,1.848,ampirik_p10p90_250g_v5
2026-08-21,A3,1d,1,2026-08-24,0.13,-1.47,1.73,3.2,0.13,80,0.52,low,4,high,0,model_A,-1.312,1.663,ampirik_p10p90_250g_v5
2026-08-21,A4,1d,1,2026-08-24,1.25,-1.25,3.75,5.0,1.25,80,0.58,low,4,high,0,model_A,-0.876,3.556,ampirik_p10p90_250g_v5
2026-08-21,A5,1d,1,2026-08-24,0.09,-1.41,1.59,3.0,0.09,80,0.52,low,3,high,0,model_A,-1.427,1.613,ampirik_p10p90_250g_v5
2026-08-21,A6,1d,1,2026-08-24,0.06,-0.05,0.24,0.29,0.095,80,0.66,low,3,high,0,model_A,-0.041,0.199,ampirik_p10p90_250g_v5
2026-08-21,A1,1w,7,2026-08-28,0.6,-4.0,5.2,9.2,0.6,80,0.54,low,5,high,0,model_A,,,
2026-08-21,A2,1w,7,2026-08-28,0.7,-4.2,5.6,9.8,0.7,80,0.54,low,5,high,0,model_A,,,
2026-08-21,A3,1w,7,2026-08-28,0.5,-3.6,4.6,8.2,0.5,80,0.53,low,4,high,0,model_A,,,
2026-08-21,A4,1w,7,2026-08-28,0.8,-4.8,6.4,11.2,0.8,80,0.55,low,5,high,0,model_A,,,
2026-08-21,A5,1w,7,2026-08-28,0.5,-3.3,4.3,7.6,0.5,80,0.53,low,3,high,0,model_A,,,
2026-08-21,A6,1w,7,2026-08-28,0.32,-0.15,0.9,1.05,0.375,80,0.72,low,3,medium,0,model_A,,,
2026-08-21,A1,1m,30,2026-09-21,2.5,-9.0,13.5,22.5,2.25,80,0.58,low,3,high,0,model_A,,,
2026-08-21,A2,1m,30,2026-09-21,2.5,-9.5,14.0,23.5,2.25,80,0.57,low,3,high,0,model_A,,,
2026-08-21,A3,1m,30,2026-09-21,1.8,-8.0,11.5,19.5,1.75,80,0.56,low,3,high,0,model_A,,,
2026-08-21,A4,1m,30,2026-09-21,2.6,-10.5,15.5,26.0,2.5,80,0.57,low,4,high,0,model_A,,,
2026-08-21,A5,1m,30,2026-09-21,1.8,-8.0,11.5,19.5,1.75,80,0.56,low,2,high,0,model_A,,,
2026-08-21,A6,1m,30,2026-09-21,1.35,-0.3,3.0,3.3,1.35,80,0.8,medium,2,medium,1,model_A,,,
2026-08-22,A1,1d,1,2026-08-24,0.3,-1.55,2.15,3.7,0.3,80,0.56,low,0,,0,model_A,-1.698,2.355,ampirik_p10p90_250g_v5
2026-08-22,A2,1d,1,2026-08-24,0.3,-1.35,1.95,3.3,0.3,80,0.56,medium,0,,0,model_A,-1.567,1.968,ampirik_p10p90_250g_v5
2026-08-22,A3,1d,1,2026-08-24,0.3,-1.05,1.65,2.7,0.3,80,0.57,medium,0,,0,model_A,-1.142,1.833,ampirik_p10p90_250g_v5
2026-08-22,A4,1d,1,2026-08-24,1.5,-0.55,3.55,4.1,1.5,80,0.82,medium,0,,0,model_A,-0.626,3.806,ampirik_p10p90_250g_v5
2026-08-22,A5,1d,1,2026-08-24,0.69,-0.15,1.55,1.7,0.7,80,0.85,medium,0,,0,model_A,-0.827,2.213,ampirik_p10p90_250g_v5
2026-08-22,A6,1d,1,2026-08-24,0.06,-0.05,0.23,0.28,0.09,80,0.65,low,0,,0,model_A,-0.031,0.204,ampirik_p10p90_250g_v5
2026-08-22,A1,1w,7,2026-08-31,0.6,-4.0,5.2,9.2,0.6,80,0.54,low,0,,0,model_A,,,
2026-08-22,A2,1w,7,2026-08-31,0.7,-4.2,5.6,9.8,0.7,80,0.54,low,0,,0,model_A,,,
2026-08-22,A3,1w,7,2026-08-31,0.5,-3.6,4.6,8.2,0.5,80,0.53,low,0,,0,model_A,,,
2026-08-22,A4,1w,7,2026-08-31,1.6,-4.0,7.2,11.2,1.6,80,0.57,low,0,,0,model_A,,,
2026-08-22,A5,1w,7,2026-08-31,0.8,-3.0,4.6,7.6,0.8,80,0.55,low,0,,0,model_A,,,
2026-08-22,A6,1w,7,2026-08-31,0.36,-0.12,0.92,1.04,0.4,80,0.72,low,0,,0,model_A,,,
2026-08-22,A1,1m,30,2026-09-21,2.0,-9.0,13.5,22.5,2.25,80,0.57,low,0,,0,model_A,,,
2026-08-22,A2,1m,30,2026-09-21,2.5,-9.5,14.0,23.5,2.25,80,0.57,low,0,,0,model_A,,,
2026-08-22,A3,1m,30,2026-09-21,1.8,-8.0,11.5,19.5,1.75,80,0.56,low,0,,0,model_A,,,
2026-08-22,A4,1m,30,2026-09-21,2.6,-10.5,15.5,26.0,2.5,80,0.57,low,0,,0,model_A,,,
2026-08-22,A5,1m,30,2026-09-21,1.8,-8.0,11.5,19.5,1.75,80,0.56,low,0,,0,model_A,,,
2026-08-22,A6,1m,30,2026-09-21,1.4,-0.3,3.0,3.3,1.35,80,0.8,low,0,,0,model_A,,,
2026-08-23,A1,1d,1,2026-08-24,0.3,-1.55,2.15,3.7,0.3,80,0.56,low,0,,0,model_A,-1.686,2.361,ampirik_p10p90_250g_v5
2026-08-23,A2,1d,1,2026-08-24,0.3,-1.35,1.95,3.3,0.3,80,0.56,medium,0,,0,model_A,-1.567,1.968,ampirik_p10p90_250g_v5
2026-08-23,A3,1d,1,2026-08-24,0.3,-1.05,1.65,2.7,0.3,80,0.57,medium,0,,0,model_A,-1.142,1.833,ampirik_p10p90_250g_v5
2026-08-23,A4,1d,1,2026-08-24,1.75,-0.05,3.55,3.6,1.75,80,0.87,medium,0,,0,model_A,-0.376,4.056,ampirik_p10p90_250g_v5
2026-08-23,A5,1d,1,2026-08-24,0.69,-0.15,1.55,1.7,0.7,80,0.85,medium,0,,0,model_A,-0.827,2.213,ampirik_p10p90_250g_v5
2026-08-23,A6,1d,1,2026-08-24,0.06,-0.05,0.23,0.28,0.09,80,0.65,low,0,,0,model_A,-0.031,0.204,ampirik_p10p90_250g_v5
2026-08-23,A1,1w,7,2026-08-31,0.6,-4.0,5.2,9.2,0.6,80,0.54,low,0,,0,model_A,,,
2026-08-23,A2,1w,7,2026-08-31,0.7,-4.2,5.6,9.8,0.7,80,0.54,low,0,,0,model_A,,,
2026-08-23,A3,1w,7,2026-08-31,0.5,-3.6,4.6,8.2,0.5,80,0.53,low,0,,0,model_A,,,
2026-08-23,A4,1w,7,2026-08-31,1.85,-4.2,7.0,11.2,1.4,80,0.57,low,0,,0,model_A,,,
2026-08-23,A5,1w,7,2026-08-31,0.8,-3.0,4.6,7.6,0.8,80,0.55,low,0,,0,model_A,,,
2026-08-23,A6,1w,7,2026-08-31,0.36,-0.12,0.92,1.04,0.4,80,0.72,low,0,,0,model_A,,,
2026-08-23,A1,1m,30,2026-09-23,2.0,-9.0,13.5,22.5,2.25,80,0.57,low,0,,0,model_A,,,
2026-08-23,A2,1m,30,2026-09-23,2.5,-9.5,14.0,23.5,2.25,80,0.57,low,0,,0,model_A,,,
2026-08-23,A3,1m,30,2026-09-23,1.8,-8.0,11.5,19.5,1.75,80,0.56,low,0,,0,model_A,,,
2026-08-23,A4,1m,30,2026-09-23,2.6,-10.5,15.5,26.0,2.5,80,0.57,low,0,,0,model_A,,,
2026-08-23,A5,1m,30,2026-09-23,1.8,-8.0,11.5,19.5,1.75,80,0.56,low,0,,0,model_A,,,
2026-08-23,A6,1m,30,2026-09-23,1.4,-0.3,3.0,3.3,1.35,80,0.8,low,0,,0,model_A,,,
2026-08-24,A1,1d,1,2026-08-25,0.1,-1.75,1.95,3.7,0.1,80,0.52,low,0,,0,model_A,-1.905,2.147,ampirik_p10p90_250g_v5
2026-08-24,A2,1d,1,2026-08-25,0.15,-1.75,2.05,3.8,0.15,80,0.53,low,0,,0,model_A,,,
2026-08-24,A3,1d,1,2026-08-25,0.2,-1.35,1.75,3.1,0.2,80,0.54,low,0,,0,model_A,,,
2026-08-24,A4,1d,1,2026-08-25,0.6,-1.45,2.65,4.1,0.6,80,0.6,low,0,,0,model_A,,,
2026-08-24,A5,1d,1,2026-08-25,0.55,-0.65,1.75,2.4,0.55,80,0.72,medium,0,,0,model_A,,,
2026-08-24,A6,1d,1,2026-08-25,0.08,-0.04,0.24,0.28,0.1,80,0.68,low,0,,0,model_A,,,
2026-08-24,A1,1w,7,2026-08-31,0.7,-4.0,5.2,9.2,0.6,80,0.55,low,0,,0,model_A,,,
2026-08-24,A2,1w,7,2026-08-31,0.6,-4.2,5.6,9.8,0.7,80,0.54,low,0,,0,model_A,,,
2026-08-24,A3,1w,7,2026-08-31,0.8,-3.6,4.8,8.4,0.6,80,0.55,low,0,,0,model_A,,,
2026-08-24,A4,1w,7,2026-08-31,0.8,-4.6,6.4,11.0,0.9,80,0.55,low,0,,0,model_A,,,
2026-08-24,A5,1w,7,2026-08-31,1.8,-2.6,5.6,8.2,1.5,80,0.62,low,0,,0,model_A,,,
2026-08-24,A6,1w,7,2026-08-31,0.42,-0.1,1.0,1.1,0.45,80,0.73,low,0,,0,model_A,,,
2026-08-24,A1,1m,30,2026-09-23,1.6,-9.0,13.0,22.0,2.0,80,0.56,low,0,,0,model_A,,,
2026-08-24,A2,1m,30,2026-09-23,2.4,-9.5,14.0,23.5,2.25,80,0.57,low,0,,0,model_A,,,
2026-08-24,A3,1m,30,2026-09-23,2.0,-8.0,11.5,19.5,1.75,80,0.56,low,0,,0,model_A,,,
2026-08-24,A4,1m,30,2026-09-23,2.2,-10.5,15.0,25.5,2.25,80,0.56,low,0,,0,model_A,,,
2026-08-24,A5,1m,30,2026-09-23,2.8,-7.5,12.0,19.5,2.25,80,0.58,low,0,,0,model_A,,,
2026-08-24,A6,1m,30,2026-09-23,1.4,-0.3,3.0,3.3,1.35,80,0.8,low,0,,0,model_A,,,
2026-08-25,A1,1d,1,2026-08-26,0.05,-1.8,1.9,3.7,0.05,80,0.51,low,0,,0,model_A,-1.955,2.098,ampirik_p10p90_250g_v5
2026-08-25,A2,1d,1,2026-08-26,0.15,-1.75,2.05,3.8,0.15,80,0.52,low,0,,0,model_A,,,
2026-08-25,A3,1d,1,2026-08-26,0.05,-1.4,1.6,3.0,0.1,80,0.51,low,0,,0,model_A,,,
2026-08-25,A4,1d,1,2026-08-26,1.1,-0.95,3.15,4.1,1.1,80,0.7,low,0,,0,model_A,,,
2026-08-25,A5,1d,1,2026-08-26,-0.15,-1.35,1.05,2.4,-0.15,80,0.45,low,0,,0,model_A,,,
2026-08-25,A6,1d,1,2026-08-26,0.06,-0.05,0.23,0.28,0.09,80,0.65,low,0,,0,model_A,,,
2026-08-25,A1,1w,7,2026-09-01,0.6,-4.1,5.3,9.4,0.6,80,0.54,low,0,,0,model_A,,,
2026-08-25,A2,1w,7,2026-09-01,0.4,-4.3,5.5,9.8,0.6,80,0.52,low,0,,0,model_A,,,
2026-08-25,A3,1w,7,2026-09-01,0.4,-3.7,4.7,8.4,0.5,80,0.53,low,0,,0,model_A,,,
2026-08-25,A4,1w,7,2026-09-01,1.2,-4.4,6.6,11.0,1.1,80,0.56,low,0,,0,model_A,,,
2026-08-25,A5,1w,7,2026-09-01,0.9,-3.2,5.0,8.2,0.9,80,0.56,low,0,,0,model_A,,,
2026-08-25,A6,1w,7,2026-09-01,0.36,-0.12,0.92,1.04,0.4,80,0.72,low,0,,0,model_A,,,
2026-08-25,A1,1m,30,2026-09-24,1.7,-9.0,13.0,22.0,2.0,80,0.56,low,0,,0,model_A,,,
2026-08-25,A2,1m,30,2026-09-24,2.0,-9.5,14.0,23.5,2.25,80,0.55,low,0,,0,model_A,,,
2026-08-25,A3,1m,30,2026-09-24,1.8,-8.0,11.5,19.5,1.75,80,0.55,low,0,,0,model_A,,,
